Protein IDs,Protein names,Gene names,Control-LFQ intensity P18,Control-LFQ intensity P19,Control-LFQ intensity P20,Di-LFQ intensity P18,Di-LFQ intensity P19,Di-LFQ intensity P20,mean_ctrl,mean_treat,log2FC (treat:ctrl)
P78527;P78527-2;B4DL41,DNA-dependent protein kinase catalytic subunit,PRKDC,12903,7489.5,11038,9484.4,4950,10374,10476.83333,8269.466667,-0.34133653
O95602;B9ZVN9;B7ZKR9;F2Z3I7;B7Z284,DNA-directed RNA polymerase I subunit RPA1;DNA-directed RNA polymerase,POLR1A,3490.8,5800,4343.2,12384,16786,12390,4544.666667,13853.33333,1.607986766
O00411;K7EMH3;B4DZE5;Q4G0F4,"DNA-directed RNA polymerase, mitochondrial;DNA-directed RNA polymerase",POLRMT,39087,28809,24468,1000,1000,1000,30788,1000,-4.944296247
B7Z1W6;Q9H9Y6;Q9H9Y6-4;Q9H9Y6-5;Q9H9Y6-2;Q9H9Y6-3,DNA-directed RNA polymerase;DNA-directed RNA polymerase I subunit RPA2,POLR1B,11454,14758,9889.4,8769.4,12994,11930,12033.8,11231.13333,-0.099588767
F5GWV1,DnaJ homolog subfamily A member 4 ,DNAJA4,983743,1128390,865900,1000,1000,1000,992677.6667,1000,-9.955181525
F2Z2L8;Q8TBM8;A0A087WWX2,DnaJ homolog subfamily B member 14,DNAJB14,786050,654000,712301,1000,1000,1000,717450.3333,1000,-9.486735152
Q5T1X2;Q96KC8,DnaJ homolog subfamily C member 1,DNAJC1,61217,64368,72416,1000,1000,1000,66000.33333,1000,-6.044401406
Q9NX36,DnaJ homolog subfamily C member 28,DNAJC28,58465,64459,51290,1000,1000,1000,58071.33333,1000,-5.859754254
Q13217;X6R9L0;A8KA82,DnaJ homolog subfamily C member 3,DNAJC3,12930,18200,13324,45405,39656,34440,14818,39833.66667,1.426637546
G9HV64;G5CTX6;G9HV65;K9MB72;G9HV63;G9HV62,Dopamine receptor D4 (Fragment) ,DRD4,67090,73290,70023,1000,1000,1000,70134.33333,1000,-6.132048964
M0R2J8;M0R2J8-3;M0R2J8-2;H7C298;B6ZDN3;H0Y2Q8;Q9P235,Doublecortin domain-containing protein 1 ,DCDC1,23947,19485,15467,18696,15547,21567,19633,18603.33333,-0.077719493
N0GVR9;O94789;A0A2R8Y443;A0A2R8Y6I6,Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A (Fragment) ,DYRK1A_var1;MNB/DYRK,14022,17629,20182,1000,1000,1000,17277.66667,1000,-4.110836491
Q96DT5;C0JYZ1;A0A0C4DFR0;A0A087WYC6;A0A024RA50;Q75KM7;O95705;O43352,"Dynein heavy chain 11, axonemal",DNAH11,39087,27790,32128,1000,1000,1000,33001.66667,1000,-5.044466981
E9PG32;Q6ZR08;Q6ZR08-3,"Dynein heavy chain 12, axonemal",DNAH12,6589.4,4003.6,4890,8990.6,12940,9870.4,5161,10600.33333,1.038387096
Q0VDD8;Q0VDD8-4,"Dynein heavy chain 14, axonemal",DNAH14,91700,128242,106134,1000,1000,1000,108692,1000,-6.764101948
Q9UFH2;K7EK91;B0I1S3,"Dynein heavy chain 17, axonemal",DNAH17,12930,9484.6,8048.5,1000,1000,1000,10154.36667,1000,-3.344028356
Q9P225;Q9P225-2;I3L520;Q9P225-3,"Dynein heavy chain 2, axonemal",DNAH2,2389.6,3020,2859.5,2795.6,2900.4,3856.2,2756.366667,3184.066667,0.208102727
Q8TE73,"Dynein heavy chain 5, axonemal",DNAH5,8378.5,7336.2,10028,6059.6,8007.5,9068.1,8580.9,7711.733333,-0.154073806
Q9C0G6;Q9C0G6-4;B0I1R8,"Dynein heavy chain 6, axonemal",DNAH6,17485,20014,13289,1000,1000,1000,16929.33333,1000,-4.081453257
Q8WXX0,"Dynein heavy chain 7, axonemal",DNAH7,8657.4,9904.2,10399,23990,29018,24389,9653.533333,25799,1.418186155
Q9NYC9;A8KAY3;B0I1R1;E7EP17;Q9NYC9-2;Q99499;A2VCN3;Q9NYC9-3,"Dynein heavy chain 9, axonemal",DNAH9,6474.3,5549.1,8030.2,1000,1000,1000,6684.533333,1000,-2.740826845
H3BQI1;Q8TF09;A0A140VJH9,Dynein light chain roadblock-type 2,DYNLRB2,193790,244350,179430,1000,1000,1000,205856.6667,1000,-7.685496361
Q8IY82;H3BRN2;Q8IY82-2,Dynein regulatory complex subunit 7,DRC7,12938,9874.4,8594.2,7779.5,6039.2,11930,10468.86667,8582.9,-0.286568174
O75923-13;O75923;O75923-7;O75923-8;O75923-2;O75923-4;O75923-5;O75923-12;O75923-6;O75923-9;O75923-3;O75923-14;O75923-10;O75923-11;O75923-15;Q9NZM1-6;Q9NZM1-2;Q9NZM1-5;Q9NZM1-3;Q9NZM1,Dysferlin,DYSF,59043,43849,52329,10299,8695.5,8002.8,51740.33333,8999.1,-2.523436719
Q03001;F8W9J4;Q03001-8;E9PHM6;F6QMI7;Q03001-14;A0A494C073;A0A0U1RQJ2;Q03001-9;Q6P0N6;E7ETB9;B4DSS9,Dystonin,DST,1000,1000,1000,7960.4,5560.6,6454.2,1000,6658.4,2.735175542
A0A087WTU7;A0A087WV90;P11532;E7ESB2;F5GZY3;A1L0U9;F8VX32;A7E212;A0A075B6G3;Q59HC3;H0Y304;E7EQS5;P11532-3;P11532-2;P11532-4;E9PDN5;H0Y3E8;Q8WYC0;E7EQR9;P11532-5;A0A0S2Z3B5;B4DSV7;P11532-6;P11532-7;P11532-8;P11532-9;P11532-10;A0A0S2Z3J7;Q14205,Dystrophin,DMD,8594.5,11930,6584.1,13284,7383.2,10029,9036.2,10232.06667,0.179309462
Q9C0C9;K7ES11,E2/E3 hybrid ubiquitin-protein ligase UBE2O,UBE2O,20183,21192,14594,1000,1000,1000,18656.33333,1000,-4.221593565
P49792;D3DX73,E3 SUMO-protein ligase RanBP2,RANBP2;hCG_1994636,19358,23950,20024,23993,14399,20294,21110.66667,19562,-0.109918262
Q14258;D3DTY9;Q59GW5;A0A3B3IUA7,E3 ubiquitin/ISG15 ligase TRIM25,TRIM25,1000,1000,1000,30284,25659,21239,1000,25727.33333,4.685230023
Q5VTR2;A0PJJ6;Q05DC0,E3 ubiquitin-protein ligase BRE1A,RNF20,12930,7897.5,14394,8890.4,6435.8,13245,11740.5,9523.733333,-0.30189472
Q9ULV8;Q9ULV8-2,E3 ubiquitin-protein ligase CBL-C,CBLC,1000,1000,1000,34390,42102,31103,1000,35865,5.164504726
O95714;Q9BVR0;B7Z294;B7Z2K1;A0A0J9YVP0;Q8ND39;A0A0G2JPS8;Q68DG8,E3 ubiquitin-protein ligase HERC2,HERC2,30283,38890,40121,23920,26658,21930,36431.33333,24169.33333,-0.592002117
Q7Z6Z7;A0A024R9Y3;A0A024R9U8;A0A024R9W5;Q7Z6Z7-2;Q7Z6Z7-3;Q5H935;H0Y659;Q5H924;A0A087X146;Q9NXW1;Q53FW4;Q5H962,E3 ubiquitin-protein ligase HUWE1,HUWE1,29033,21033,24432,1000,1000,1000,24832.66667,1000,-4.634167289
Q8TBB1;B4DGI5;Q8TBB1-2,E3 ubiquitin-protein ligase LNX,LNX1,16905,14394,12322,1000,1000,1000,14540.33333,1000,-3.861988438
O75592;O75592-2;Q9NWD4;A0A0C4DGY7;Q9UG08;H7C3U4,E3 ubiquitin-protein ligase MYCBP2,MYCBP2,10077,8975.2,6711.2,7866.8,9058.6,11021,8587.8,9315.466667,0.117339451
Q9Y4L5,E3 ubiquitin-protein ligase RNF115,RNF115,11217,14187,13202,1000,1000,1000,12868.66667,1000,-3.685790677
Q5XPI4;B3KU09;A0A024R2V1;Q5XPI4-2;C9JS59;F8WB91;C9JN91;C9JI97;C9J266,E3 ubiquitin-protein ligase RNF123,RNF123;hCG_20123,10221,8493.1,7686.5,1000,1000,1000,8800.2,1000,-3.137536312
Q63HN8;A0A0A0MTR7;A0A0A0MTC1;Q63HN8-4;Q63HN8-6;I3L3H9,E3 ubiquitin-protein ligase RNF213,RNF213,2033.6,1809.1,2444.2,12048,10284,9518.4,2095.633333,10616.8,2.34089077
Q9C037;Q9C037-2;H7C0Q6;B4DEC5;B3KS62;Q9C037-3,E3 ubiquitin-protein ligase TRIM4,TRIM4,56980,34990,61257,1000,1000,1000,51075.66667,1000,-5.674564225
Q8WV44;Q8TES0;Q9NT12;H0Y9T3;Q658W3;Q8WV44-3;Q8WV44-4;Q8WV44-2,E3 ubiquitin-protein ligase TRIM41,TRIM41;FLJ00123;DKFZp434N1710;DKFZp666N1710,80394,67689,69950,72204,69985,73257,72677.66667,71815.33333,-0.017220195
Q9C026;Q9C026-4;Q9C026-5,E3 ubiquitin-protein ligase TRIM9,TRIM9,1000,1000,1000,23940,18798,26676,1000,23138,4.532192261
Q6ZT12-4;Q6ZT12;H7BZD8;H0Y3K2;Q68DC1;H7C481;Q6ZT12-2,E3 ubiquitin-protein ligase UBR3,UBR3,29284,20165,30034,12940,10037,17689,26494.33333,13555.33333,-0.966823236
Q5T4S7;Q5T4S7-3;Q5T4S7-4;Q5T4S7-2;Q5TBN9;Q96HY5;B3KM62;B4DPF6;B3KMT2;B4DYV5;X6R960;A0A024RAC9;Q5T4S7-5,E3 ubiquitin-protein ligase UBR4,UBR4;ZUBR1,4100,6594.3,4549.7,8932.1,3490.6,5324.8,5081.333333,5915.833333,0.219374301
O95071;E7EMW7;O95071-2,E3 ubiquitin-protein ligase UBR5,UBR5,8924.1,10293,9044.2,1000,1000,1000,9420.433333,1000,-3.235793424
Q96PU4;B3KV82;Q96PU4-2,E3 ubiquitin-protein ligase UHRF2,UHRF2,13994,10283,12210,45960,40045,39689,12162.33333,41898,1.784461343
Q15075;A8K7J3;Q05D76,Early endosome antigen 1,EEA1,12192,9687.4,13405,7895.4,6769.8,8967.3,11761.46667,7877.5,-0.578258223
K7EIK7;O95834-3;O95834;K7EIZ0;K7EKG3;A0A0C4DGQ7;B7Z918;C9JRL6;B7Z872;B7Z2F5;O95834-2,Echinoderm microtubule-associated protein-like 2 ,EML2,70384,54031,66578,1000,1000,1000,63664.33333,1000,-5.992413453
P22413;Q9NS95;E9PE72;A0A3B3IST7;B2RBY8,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase,ENPP1;PDNP1,1000,1000,1000,15004,10274,13329,1000,12869,3.685828047
A4FU69;B4DZ47;K7EJC3;H0Y843;A4FU69-6;A4FU69-5;A4FU69-2;A4FU69-4;A4FU69-3,EF-hand calcium-binding domain-containing protein 5,EFCAB5,1000,1000,1000,3465.9,5590,6532.9,1000,5196.266667,2.37747547
Q8N7U6;Q8N7U6-3;H9KV82;Q8N7U6-2;H7C0U4,EF-hand domain-containing family member B,EFHB,50685,41192,45892,1000,1000,1000,45923,1000,-5.521144987
Q8NDI1;A8K930;A0A140VK17;Q8NDI1-3;Q8NDI1-2;H7C0Q4;H0YDZ9;B5MC86;A0A0U1RQH4,EH domain-binding protein 1,EHBP1,34903,29480,33899,12880,10283,18027,32760.66667,13730,-1.25463309
Q8IUD2;X6RLX0;Q8IUD2-3;G8JLD3;Q8IUD2-2;K7EPD6;A0A0U1RQN0;K7EPP6;A0A0U1RQM4;B4DG07;X6RM00;Q8IUD2-5;Q8IUD2-4,ELKS/Rab6-interacting/CAST family member 1,ERC1,29102,21189,30182,76950,59589,55948,26824.33333,64162.33333,1.258184292
Q9BXX0,EMILIN-2,EMILIN2,1000,1000,1000,18695,21038,15403,1000,18378.66667,4.199960201
P78549;H3BUV2;E5KTI5;P78549-3;P78549-2;B4DPA0;H3BRL9;A0A494C106;H3BPD5,Endonuclease III-like protein 1,NTHL1,1000,1000,1000,50485,63283,60138,1000,57968.66667,5.857201398
A0A024RAB0;P42892-2;P42892;P42892-3;B4DKB2;A0A024RAB2;A0A024RAF7;A0A3B3ISF9;P42892-4,Endothelin-converting enzyme 1,ECE1,8493.4,11028,9927.3,12930,8575.2,7839.4,9816.233333,9781.533333,-0.005108906
B8XCX8;Q9H2F5;Q68DJ2;B8XCX7;Q9H2F5-3;Q9H2F5-2;Q76L83;E7EWD6;Q76L83-2,Enhancer of polycomb homolog 1;Enhancer of polycomb homolog,EPC1;DKFZp781P2312,1000,1000,1000,7650.2,10395,8455.2,1000,8833.466667,3.14297973
Q92817;A0A024R8L8;K7EKI0;B7ZLH8,Envoplakin,EVPL,6584.7,9234.2,8904.6,7659.5,10023,6796.4,8241.166667,8159.633333,-0.014344264
O95936,Eomesodermin homolog,EOMES,1000,1000,1000,61541,55284,77556,1000,64793.66667,6.017780897
P58107;A0A075B730,Epiplakin,EPPK1,27869,33290,39304,69405,58405,72182,33487.66667,66664,0.993278029
Q008S8;A0A2X0SFI5;B7Z944,Epithelial cell-transforming sequence 2 oncogene-like,ECT2L,11930,7869.2,8993.4,7659.6,9584.4,10382,9597.533333,9208.666667,-0.059671384
Q08345;A0A1U9X7M1;A0A024RCL1;A0A024RCQ1;A0A1U9X7K3;A0A1U9X7L5;Q08345-5;Q08345-6;Q08345-2;A0A024RCJ0;A0A0G2JI85;A0A0G2JNZ7;A0A0A0MSX3;Q6ZNR9;A2ABM8;A0A140T972;E7EPN2;Q08345-4;H0YAH6;H0Y717;E7EPH4;A0A0G2JIA2;E7EQ30;B7Z3A2;A0A0G2JIZ7;A2ABL2;E7EUP7;H0Y9F4,Epithelial discoidin domain-containing receptor 1,DDR1,79605,84438,70137,1000,1000,1000,78060,1000,-6.286511558
Q96J88-2;Q96J88;Q96J88-3,Epithelial-stromal interaction protein 1,EPSTI1,94059,74023,102810,1000,1000,1000,90297.33333,1000,-6.496611477
A0A1B0GUN9;B1AK53;A0A2R8Y7L7;A0A1B0GUS9;A0A0J9YY76;H0Y7L4;A0A0J9YWQ8;A0A0A0MSQ4;B1AK53-2,Espin ,ESPN,34930,43283,49202,39389,34220,45695,42471.66667,39768,-0.094892715
Q9NTX5,Ethylmalonyl-CoA decarboxylase,ECHDC1,573830,421699,502790,1000,1000,1000,499439.6667,1000,-8.964166598
P38919;I3L3H2;A0A024R8W0,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",EIF4A3;DDX48,26879,31108,34596,8945.3,10199,12986,30861,10710.1,-1.52681286
Q14152;J9R021;Q14152-2;Q24JU4;Q7Z5T5;Q05BS0;Q6P1R0;Q3B770,Eukaryotic translation initiation factor 3 subunit A,EIF3A;eIF3a,32931,28494,30002,38695,25548,32484,30475.66667,32242.33333,0.081298373
P60228;E5RGA2;B3KW56;Q6IAX5;B2R806;E5RIT4;H0YBR5;A0A161SXE1;E5RHS5,Eukaryotic translation initiation factor 3 subunit E,EIF3E,30283,40291,32438,34544,32405,41028,34337.33333,35992.33333,0.06791163
M0R1Y1,EVI5-like protein (Fragment) ,EVI5L,670370,5930430,600242,1000,1000,1000,2400347.333,1000,-11.22902747
Q9NVH0;B3KP95;A8K948;Q9NVH0-2;C9JLF4,Exonuclease 3-5 domain-containing protein 2,EXD2,49304,55344,42385,1000,1000,1000,49011,1000,-5.615033678
Q06265;Q06265-2;B4DXG8;D6RIY6;A5PLM5;D6RAP4;D6R905;D6RA17;Q06265-3;Q06265-4,Exosome complex component RRP45,EXOSC9,76855,65490,72145,1000,1000,1000,71496.66667,1000,-6.159804077
Q9Y5B9;Q0VGA3,FACT complex subunit SPT16,SUPT16H,29304,18706,24437,1000,1000,1000,24149,1000,-4.593891544
Q8IYD8;H0YJS3;Q8IYD8-3;H0YJ45;H0YJN7;H0YJ14,Fanconi anemia group M protein,FANCM,1000,1000,1000,4590.4,6679.1,8605.3,1000,6624.933333,2.727905937
Q8IZ48;Q8TES7;A0A0R4J2E4;K7ENL6;Q8TES7-4;Q8TES7-3;Q8TES7-2;Q8TES7-5;Q8TES7-6,Fas-binding factor 1,FBF1,13589,19203,20029,16705,21038,14530,17607,17424.33333,-0.015045655
Q16658;B3KTA3;A0A384MEG1,Fascin,FSCN1,56950,45492,67058,1000,1000,1000,56500,1000,-5.820178962
Q8TF61;B3KXK3,F-box only protein 41,FBXO41,5649.3,6544.1,5430,7329.7,4329.8,5543.1,5874.466667,5734.2,-0.034865653
Q9NRD0;B3KVY7;A0A0S2Z5D1;Q9NRD0-2;Q8IXA8;D6RJ92;D6RIC0;A0A0S2Z576,F-box only protein 8,FBXO8;MST051,21928,18860,26546,1000,1000,1000,22444.66667,1000,-4.488300765
Q9NXK8;K7ELM5;K7EIR3;K7EK37;Q9NXK8-2,F-box/LRR-repeat protein 12,FBXL12,1000,1000,1000,21028,18870,24343,1000,21413.66667,4.420459945
Q8N461-2,F-box/LRR-repeat protein 16,FBXL16,88860,67504,66789,1000,1000,1000,74384.33333,1000,-6.216926891
Q9UF56;H7C835,F-box/LRR-repeat protein 17,FBXL17,1000,1000,1000,21190,28696,19968,1000,23284.66667,4.541308324
Q6PCT2;H3BVB1;H3BME1;H7C112;H3BPZ0;B7Z7Y9;Q6PCT2-2;Q6PCT2-3,F-box/LRR-repeat protein 19,FBXL19,16586,18797,13290,1000,1000,1000,16224.33333,1000,-4.020087293
Q2WGJ9,Fer-1-like protein 6,FER1L6,56950,61129,50128,39405,41199,34539,56069,38381,-0.546811039
Q96NE9;Q96NE9-2;B2RE19;G3V517;H0YJ19;B3KX30,FERM domain-containing protein 6,FRMD6,50384,39586,42218,100280,132930,99685,44062.66667,110965,1.332475986
K7EJM8;K7ELX4;P22830;P22830-2,"Ferrochelatase, mitochondrial",FECH,195510,216722,252480,1000,1000,1000,221570.6667,1000,-7.791623088
A0A2X0SFJ2,FGD6 (Fragment) ,FGD6,1000,1000,1000,42392,35695,48790,1000,42292.33333,5.402324253
Q96C11-5;Q96C11;F2Z2V1;B3KQX5;A0A0U1RRB9;Q96C11-3;J3QKV9;A0A0U1RQS3;A0A0U1RR53;C9J015;Q96C11-6;Q96C11-4,FGGY carbohydrate kinase domain-containing protein,FGGY,21390,30002,24549,1000,1000,1000,25313.66667,1000,-4.661844591
Q75N90;A8KAY2;A0A494C0D8;B3KTH3;B3KU56;Q6ZNB8,Fibrillin-3,FBN3,6758.6,4600,6404.4,7390.1,4329.3,5486.8,5921,5735.4,-0.045946747
Q4ZHG4;J3KNQ2;Q4ZHG4-2;B3KXM5,Fibronectin type III domain-containing protein 1,FNDC1,12489,16769,11022,10384,16586,15549,13426.66667,14173,0.078043983
A0A3B3IRR3,Fibrosin-1-like protein ,FBRSL1,66504,61023,75495,1000,1000,1000,67674,1000,-6.080529759
Q5CZC0;Q5CZC0-2;A1L1B8;Q0IJ58;Q6ZTY5,Fibrous sheath-interacting protein 2,FSIP2,10028,13290,11110,25495,29944,30013,11476,28484,1.311531885
Q4L180-4;Q4L180-2;Q4L180,Filamin A-interacting protein 1-like,FILIP1L,1000,1000,1000,21981,27912,28202,1000,26031.66667,4.702195778
Q7Z7B0;A0A075B6G6;A8K2G7;Q7Z7B0-2;Q7Z7B0-3,Filamin-A-interacting protein 1,FILIP1,9870.2,10335,12102,13002,4549.8,12102,10769.06667,9884.6,-0.123638729
Q14315;Q14315-2;P21333;Q60FE6;A6NDY9;A0A087WWY3;Q60FE5;P21333-2;O75369-2;O75369;F8WE98;O75369-3;O75369-6;O75369-4;Q59H94;A0A024R321;O75369-5;O75369-8;O75369-9,Filamin-C,FLNC,9895.7,8796.4,10384,2384.6,1138.5,4394.7,9692.033333,2639.266667,-1.876662241
Q9H7J7;Q12845,FLJ00077 protein (Fragment) ,FLJ00077;BCR,578830,364470,502836,305250,240710,376880,482045.3333,307613.3333,-0.648050792
Q8NF23,FLJ00379 protein (Fragment) ,FLJ00379,34490,29585,38976,1000,1000,1000,34350.33333,1000,-5.102252194
Q8NF08,FLJ00396 protein (Fragment) ,FLJ00396,94833,110280,87696,1000,1000,1000,97603,1000,-6.608853587
A4D2P7,FLJ42291 protein ,FLJ42291,27484,30012,32189,1000,1000,1000,29895,1000,-4.901832306
Q96SL8;K7EQX6;K7ES33;K7ERP0;K7EJE2,Flt3-interacting zinc finger protein 1,FIZ1,56056,60012,53394,1000,1000,1000,56487.33333,1000,-5.81985549
B1AJZ9;Q5JYW6;B1AJZ9-4;B1AJZ9-3;B4DLB2;H0Y5P0;H0YE38;Q96PV1,Forkhead-associated domain-containing protein 1,FHAD1;KIAA1937,8594.2,10274,9283.7,1000,1000,1000,9383.966667,1000,-3.230197889
Q68DA7;H0YM30;Q68DA7-2,Formin-1,FMN1,13394,10283,14384,13849,15594,11037,12687,13493.33333,0.088895823
K7EJE6,Formin-like protein 1 (Fragment) ,FMNL1,1000,1000,1000,66600,54950,60025,1000,60525,5.919459269
Q96PY5;Q96PY5-3,Formin-like protein 2,FMNL2,1000,1000,1000,22602,14737,13573,1000,16970.66667,4.084971335
Q6ZNL6;B7ZM68;A3KMQ0;A0A2X0SFF2;Q6ZNL6-2,"FYVE, RhoGEF and PH domain-containing protein 5",FGD5,18399,13230,14339,1000,1000,1000,15322.66667,1000,-3.937595492
F8VY01;Q6ZV73-2;Q6ZV73,"FYVE, RhoGEF and PH domain-containing protein 6",FGD6,1000,1000,1000,17518,20405,16407,1000,18110,4.178714641
D6RHX8;P43250;P43250-2;F8W9W2;Q96AD6;P43250-3;B3KPS5,G protein-coupled receptor kinase 6,GRK6,50484,45485,52248,1000,1000,1000,49405.66667,1000,-5.626604619
Q8NFP3,Gag protein ,,28696,31102,26586,34394,29605,38797,28794.66667,34265.33333,0.2509481
F8WEI7;A0A384MR27;P09382,Galectin-1,LGALS1,107860,162512,141170,1000,1000,1000,137180.6667,1000,-7.099933362
Q9H3C7;A8K3S2;B4DWN7;Q9H3C7-3;A0A087X0E5;A0A087X1D7;A8K7Z6;B3KW40;Q9H3C7-2,Gametogenetin-binding protein 2,GGNBP2,20182,16658,15440,14958,19687,20048,17426.66667,18231,0.065097057
Q9NUQ3;Q9NUQ3-2,Gamma-taxilin,TXLNG,1000,1000,1000,20122,15494,23293,1000,19636.33333,4.295453657
Q96RT7;E7EQL8;A7E2V7;B2RWN4;Q96RT7-2;Q96RT7-3;A1L149;Q1WWM1,Gamma-tubulin complex component 6,TUBGCP6,9504.7,12940,14545,1000,1000,1000,12329.9,1000,-3.624089194
Q99501;A0A5E8;Q99501-4,GAS2-like protein 1,GAS2L1,19584,15484,22033,20012,15399,17695,19033.66667,17702,-0.104641143
B5MCP8;P0C6A0,GATA-type zinc finger protein 1,ZGLP1,1000,1000,1000,74797,84968,76273,1000,78679.33333,6.297912828
V9GZL3,GBP ,,95101,146378,115760,1000,1000,1000,119079.6667,1000,-6.895783278
Q6AHZ7;Q12789;Q6AWA4;Q12789-3;H3BRD0,General transcription factor 3C polypeptide 1,DKFZp686A111;GTF3C1;DKFZp686O0870,13844,16596,13330,1000,1000,1000,14590,1000,-3.866907978
F5H6X0;A0A087WYD5;F5GXG6;H0YFF7;F5GX35;F5H4K7;Q8NEI1;F5GWD3;Q13889-2;Q13889,General transcription factor IIH subunit 3,GTF2H3,22428,31225,33283,1000,1000,1000,28978.66667,1000,-4.856919312
Q14687;Q59GZ0;H0Y613;Q14687-2;Q14687-3;B3KXH7;H7C3B5;A0A1B0GUL3,Genetic suppressor element 1,GSE1,60445,67889,43548,1000,1000,1000,57294,1000,-5.840312158
E7DVW7;Q96T53-2;Q96T53,Ghrelin O-acyltransferase,MBOAT4,1000,1000,1000,89665,73493,67766,1000,76974.66667,6.26631181
B4DND9;Q9NZM5;B4E013;Q7L4X7;Q96CS0;Q53YP0;B4E1N4;M0QZ34;B4DVK1;M0QX73,Glioma tumor suppressor candidate region gene 2 protein,GLTSCR2,25895,34394,30023,1000,1000,1000,30104,1000,-4.911883289
G3V5E4;Q96EK6;G3V4W4;A0A024R649,Glucosamine 6-phosphate N-acetyltransferase,GNPNAT1,42817,49059,51103,60032,40410,51441,47659.66667,50627.66667,0.087157133
Q59GL5;A8K0K0;P42261-2;P42261-6;P42261;B7Z1W1;P42261-3;P42261-4;P42261-5,Glutamate receptor 1,GRIA1,1000,1000,1000,16786,14390,14994,1000,15390,3.943921327
P39086;P39086-2;B7Z256;H7BYG7;E7EPZ0;E9PD61;B7Z3V7;E7EPY9;E7ENK3,"Glutamate receptor ionotropic, kainate 1",GRIK1,1000,1000,1000,23943,28980,22123,1000,25015.33333,4.644740771
A2AVK2;Q05586;Q05586-5;Q5VSF9;Q59H41;Q05586-2;Q05586-3;Q05586-7;Q05586-4;Q05586-6,"Glutamate receptor ionotropic, NMDA 1",GRIN1,59605,60569,50128,1000,1000,1000,56767.33333,1000,-5.826989067
Q12879;Q5ISN1;B4DII7;F5GZ52;Q5IS90;Q5IS45;Q547U9;Q59EW6;Q12879-2,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A;NR2A,1000,1000,1000,19403,22384,18796,1000,20194.33333,4.335878615
Q9NXS2;Q9NXS2-3,Glutaminyl-peptide cyclotransferase-like protein,QPCTL,49577,39505,42133,1000,1000,1000,43738.33333,1000,-5.450826342
C9JNT3;Q9Y2Q3;B3KTA6;E9PFN5;Q6FII1;Q9Y2Q3-4;Q9Y2Q3-3;Q9Y2Q3-2,Glutathione S-transferase kappa 1,GSTK1;LOC51064,1000,1000,1000,239230,199440,267685,1000,235451.6667,7.879287125
Q9H4Y5;B4DML4;B4DU59;Q9H4Y5-2;Q9H4Y5-3,Glutathione S-transferase omega-2,GSTO2,78595,64044,71320,1000,1000,1000,71319.66667,1000,-6.156228055
B4DRV9;V9HVZ4;Q2TSD0;P04406,Glyceraldehyde-3-phosphate dehydrogenase,HEL-S-162eP;GAPDH,321037,243360,352330,1000,1000,1000,305575.6667,1000,-8.255385854
P23378;Q9HDA3;A0A1J0GNC2,"Glycine dehydrogenase (decarboxylating), mitochondrial",GLDC,19302,12122,14589,1000,1000,1000,15337.66667,1000,-3.939007116
P11216;B4DSD8;Q59GM9,"Glycogen phosphorylase, brain form;Alpha-1,4 glucan phosphorylase",PYGB,17364,15464,20018,1000,1000,1000,17615.33333,1000,-4.13875987
E5RIC9;Q1ZYL7;A0A1W2PQ75;A8K8Y1;O15488-5;O15488-4;O15488-3;O15488-6;O15488-2;O15488,Glycogenin-2,GYG2,289043,332470,388180,1000,1000,1000,336564.3333,1000,-8.394738488
Q9Y625;B4E2M1,Glypican-6;Secreted glypican-6,GPC6,29304,34000,21329,32940,24439,30293,28211,29224,0.050895853
H0Y6I0;Q13439-3;Q13439-4;Q13439;Q13439-5,Golgin subfamily A member 4,GOLGA4,1000,1000,1000,58284,50120,42483,1000,50295.66667,5.652362202
Q9NYA3;A6NDN3;A6NDK9;P0CG33;A2VDJ1;A0A087WXI9,Golgin subfamily A member 6A;Putative golgin subfamily A member 6B;Putative golgin subfamily A member 6C;Putative golgin subfamily A member 6D,GOLGA6A;GOLGA6B;GOLGA6C;GOLGA6D;GOLGA6,75849,66655,62133,20019,26578,28870,68212.33333,25155.66667,-1.43914919
A7E2F4;A8MQT2;B7ZKM1;C9J1B5;A8MQT2-2;A7E2F4-3,Golgin subfamily A member 8A;Golgin subfamily A member 8B,GOLGA8A;GOLGA8B,20192,16785,15542,45940,38495,32494,17506.33333,38976.33333,1.154721431
X1WI27,GPI mannosyltransferase 2 (Fragment) ,PIGV,1000,1000,1000,9113.1,6246.9,9796.5,1000,8385.5,3.06789681
Q86SQ4-2;Q86SQ4;Q86SQ4-4;Q86SQ4-3,G-protein coupled receptor 126,GPR126,45503,31361,34480,1000,1000,1000,37114.66667,1000,-5.213917507
Q6ISB3;A8K9Y8;Q6ISB3-2,Grainyhead-like protein 2 homolog,GRHL2,30002,23430,35457,1000,1000,1000,29629.66667,1000,-4.888970491
Q9H706;Q9H706-3;B4DME6;Q9H706-2,GRB2-associated and regulator of MAPK protein,GAREM,1000,1000,1000,4389.4,6765.1,6004,1000,5719.5,2.515889032
